Relative particle diameter size
9
Aspect Ratio coordinates size
9
Particle Reynolds number coordinates size
14
Relative particle diameter coordinates (Particle diameter/Grid cell dimension parallel to slip)
3.125000E-02
6.250000E-02
1.250000E-01
2.500000E-01
5.000000E-01
1.000000E+00
2.000000E+00
4.000000E+00
8.000000E+00
Aspect Ratio coordinates (Grid cell dimension perpendicular to slip/Grid cell dimension parallel to slip)
1.600000E+01
8.000000E+00
4.000000E+00
2.000000E+00
1.000000E+00
5.000000E-01
2.500000E-01
1.250000E-01
6.250000E-02
Reynolds number coordinates (Calculated using particle diameter and freestream velocity)
1.562500E-02
3.125000E-02
6.250000E-02
1.250000E-01
2.500000E-01
5.000000E-01
1.000000E+00
2.000000E+00
4.000000E+00
8.000000E+00
1.600000E+01
3.200000E+01
6.400000E+01
1.280000E+02
Slip correction coefficient data
IDIA  IARY  IARZ  IREY            C1            C2            C3            C4            C5            C6            C7            C8
   2     1     4     3  2.337970E-01  2.488279E-01  3.034675E-01  3.293034E-01  3.042410E-01  3.183739E-01  4.359181E-01  4.658046E-01
   2     1     4     4  2.214560E-01  2.369851E-01  2.831897E-01  3.090643E-01  2.907275E-01  3.068843E-01  4.086014E-01  4.414728E-01
   2     1     4     5  2.145333E-01  2.320150E-01  2.720998E-01  3.008189E-01  2.832966E-01  3.024722E-01  3.940661E-01  4.324022E-01
   2     1     4     6  2.119245E-01  2.320704E-01  2.679748E-01  3.009863E-01  2.804821E-01  3.027700E-01  3.886506E-01  4.330541E-01
   2     1     4     7  2.110119E-01  2.335538E-01  2.665324E-01  3.035199E-01  2.796384E-01  3.042573E-01  3.870264E-01  4.361403E-01
   2     1     4     8  2.108617E-01  2.348689E-01  2.662712E-01  3.057598E-01  2.799756E-01  3.055172E-01  3.876615E-01  4.387635E-01
   2     1     4     9  2.113476E-01  2.356861E-01  2.670024E-01  3.071540E-01  2.811250E-01  3.062985E-01  3.898398E-01  4.403893E-01
   2     1     4    10  2.120429E-01  2.361011E-01  2.680676E-01  3.078626E-01  2.823536E-01  3.067038E-01  3.921783E-01  4.412307E-01
   2     1     4    11  2.126114E-01  2.362894E-01  2.689413E-01  3.081875E-01  2.832516E-01  3.068929E-01  3.938967E-01  4.416283E-01
   2     1     4    12  2.129756E-01  2.363739E-01  2.695012E-01  3.083320E-01  2.837960E-01  3.069838E-01  3.949410E-01  4.418154E-01
   2     1     4    13  2.131834E-01  2.364121E-01  2.698178E-01  3.083971E-01  2.840959E-01  3.070252E-01  3.955162E-01  4.419023E-01
   2     1     4    14  2.132933E-01  2.364310E-01  2.699873E-01  3.084286E-01  2.842526E-01  3.070449E-01  3.958207E-01  4.419452E-01
   2     1     5     1  2.486929E-01  2.836406E-01  3.276464E-01  3.924507E-01  3.180146E-01  3.465969E-01  4.642518E-01  5.305766E-01
   2     1     5     2  2.430478E-01  2.776592E-01  3.186278E-01  3.817341E-01  3.125682E-01  3.423332E-01  4.529884E-01  5.203039E-01
   2     1     5     3  2.318853E-01  2.657488E-01  3.002382E-01  3.600216E-01  3.005713E-01  3.323231E-01  4.283034E-01  4.971184E-01
   2     1     5     4  2.167470E-01  2.497705E-01  2.756066E-01  3.315197E-01  2.834706E-01  3.182583E-01  3.943193E-01  4.659347E-01
   2     1     5     5  2.030220E-01  2.364196E-01  2.539443E-01  3.085510E-01  2.681621E-01  3.074693E-01  3.652492E-01  4.430141E-01
   2     1     5     6  1.947900E-01  2.310894E-01  2.412701E-01  2.996489E-01  2.593731E-01  3.047296E-01  3.491128E-01  4.373635E-01
   2     1     5     7  1.911467E-01  2.325093E-01  2.357387E-01  3.021158E-01  2.554784E-01  3.075243E-01  3.420735E-01  4.432433E-01
   2     1     5     8  1.883996E-01  2.359194E-01  2.315582E-01  3.079432E-01  2.528456E-01  3.113125E-01  3.373119E-01  4.512471E-01
   2     1     5     9  1.853980E-01  2.387911E-01  2.269767E-01  3.128860E-01  2.512082E-01  3.141418E-01  3.342976E-01  4.572753E-01
   2     1     5    10  1.826935E-01  2.405168E-01  2.228328E-01  3.158692E-01  2.508203E-01  3.157215E-01  3.334919E-01  4.606694E-01
   2     1     5    11  1.805627E-01  2.413173E-01  2.195635E-01  3.172609E-01  2.510351E-01  3.164315E-01  3.337750E-01  4.621995E-01
   2     1     5    12  1.790808E-01  2.416353E-01  2.172875E-01  3.178154E-01  2.513373E-01  3.167176E-01  3.342452E-01  4.628153E-01
   2     1     5    13  1.781649E-01  2.417540E-01  2.158812E-01  3.180268E-01  2.515564E-01  3.168306E-01  3.345932E-01  4.630603E-01
   2     1     5    14  1.776491E-01  2.418029E-01  2.150905E-01  3.181097E-01  2.516857E-01  3.168773E-01  3.348027E-01  4.631608E-01
   2     1     6     1  2.575185E-01  3.124596E-01  3.441583E-01  4.525776E-01  3.161584E-01  3.645427E-01  4.608424E-01  5.759220E-01
   2     1     6     2  2.523810E-01  3.072332E-01  3.356463E-01  4.419933E-01  3.111336E-01  3.611667E-01  4.504763E-01  5.667574E-01
   2     1     6     3  2.418189E-01  2.958526E-01  3.176642E-01  4.189722E-01  2.998177E-01  3.522350E-01  4.272291E-01  5.443038E-01
   2     1     6     4  2.262921E-01  2.785043E-01  2.916242E-01  3.850389E-01  2.823964E-01  3.377894E-01  3.926833E-01  5.100105E-01
   2     1     6     5  2.091046E-01  2.589829E-01  2.638121E-01  3.487311E-01  2.630375E-01  3.220528E-01  3.562037E-01  4.746693E-01
   2     1     6     6  1.935961E-01  2.417929E-01  2.396726E-01  3.183148E-01  2.461715E-01  3.099571E-01  3.259510E-01  4.487278E-01
   2     1     6     7  1.824633E-01  2.317390E-01  2.228858E-01  3.011733E-01  2.346199E-01  3.055658E-01  3.059930E-01  4.395651E-01
   2     1     6     8  1.757601E-01  2.307869E-01  2.129814E-01  2.996125E-01  2.269193E-01  3.086727E-01  2.929988E-01  4.460835E-01
   2     1     6     9  1.700879E-01  2.349673E-01  2.047010E-01  3.067239E-01  2.191298E-01  3.146036E-01  2.800763E-01  4.586593E-01
   2     1     6    10  1.626649E-01  2.397023E-01  1.940050E-01  3.148722E-01  2.104055E-01  3.197325E-01  2.658517E-01  4.697060E-01
   2     1     6    11  1.532402E-01  2.430948E-01  1.806666E-01  3.207688E-01  2.021009E-01  3.229165E-01  2.525510E-01  4.766539E-01
   2     1     6    12  1.427673E-01  2.448680E-01  1.661641E-01  3.238752E-01  1.952171E-01  3.244175E-01  2.417052E-01  4.799541E-01
   2     1     6    13  1.331091E-01  2.455813E-01  1.530946E-01  3.251317E-01  1.902626E-01  3.249935E-01  2.339964E-01  4.812200E-01
   2     1     6    14  1.258324E-01  2.458274E-01  1.434330E-01  3.255677E-01  1.871422E-01  3.251902E-01  2.291867E-01  4.816555E-01
   2     1     7     1  2.767449E-01  3.428359E-01  3.804812E-01  5.217457E-01  3.175091E-01  3.784236E-01  4.640832E-01  6.124628E-01
   2     1     7     2  2.720870E-01  3.387923E-01  3.722308E-01  5.122710E-01  3.131185E-01  3.759974E-01  4.549722E-01  6.050302E-01
   2     1     7     3  2.622777E-01  3.292037E-01  3.544777E-01  4.904345E-01  3.032313E-01  3.688674E-01  4.344953E-01  5.857577E-01
   2     1     7     4  2.475238E-01  3.137720E-01  3.282353E-01  4.567622E-01  2.878944E-01  3.568056E-01  4.036918E-01  5.552187E-01
   2     1     7     5  2.304311E-01  2.949382E-01  2.989385E-01  4.178186E-01  2.700843E-01  3.424655E-01  3.695342E-01  5.208787E-01
   2     1     7     6  2.131091E-01  2.747655E-01  2.704855E-01  3.784261E-01  2.523886E-01  3.280661E-01  3.371955E-01  4.880913E-01
   2     1     7     7  1.968623E-01  2.551334E-01  2.448863E-01  3.421642E-01  2.363004E-01  3.154032E-01  3.090966E-01  4.604956E-01
   2     1     7     8  1.826905E-01  2.390291E-01  2.233599E-01  3.138367E-01  2.223693E-01  3.070824E-01  2.856866E-01  4.429323E-01
   2     1     7     9  1.717608E-01  2.306684E-01  2.072523E-01  2.996015E-01  2.105117E-01  3.059793E-01  2.663957E-01  4.406491E-01
   2     1     7    10  1.635792E-01  2.312924E-01  1.954603E-01  3.006729E-01  1.989470E-01  3.112671E-01  2.481077E-01  4.517410E-01
   2     1     7    11  1.550368E-01  2.364159E-01  1.833751E-01  3.094067E-01  1.851702E-01  3.183186E-01  2.269763E-01  4.668011E-01
   2     1     7    12  1.434661E-01  2.416376E-01  1.673758E-01  3.184275E-01  1.688488E-01  3.239109E-01  2.028184E-01  4.789626E-01
   2     1     7    13  1.280249E-01  2.452089E-01  1.466697E-01  3.246733E-01  1.516064E-01  3.271761E-01  1.782826E-01  4.861601E-01
   2     1     7    14  1.100642E-01  2.469922E-01  1.234800E-01  3.278131E-01  1.361439E-01  3.286210E-01  1.571027E-01  4.893708E-01
   2     1     8     1  2.965256E-01  3.670534E-01  4.198889E-01  5.820008E-01  3.213789E-01  3.883444E-01  4.727229E-01  6.395573E-01
   2     1     8     2  2.923105E-01  3.641930E-01  4.118628E-01  5.741597E-01  3.174562E-01  3.866218E-01  4.644502E-01  6.335477E-01
   2     1     8     3  2.832283E-01  3.566241E-01  3.943257E-01  5.549118E-01  3.086169E-01  3.809181E-01  4.458524E-01  6.171456E-01
   2     1     8     4  2.694675E-01  3.440811E-01  3.682835E-01  5.246793E-01  2.950141E-01  3.711636E-01  4.180203E-01  5.911232E-01
   2     1     8     5  2.535271E-01  3.286728E-01  3.392170E-01  4.894402E-01  2.793780E-01  3.597428E-01  3.873245E-01  5.622304E-01
   2     1     8     6  2.372398E-01  3.116264E-01  3.107302E-01  4.524637E-01  2.638146E-01  3.481054E-01  3.580670E-01  5.340825E-01
   2     1     8     7  2.212430E-01  2.931529E-01  2.838922E-01  4.144860E-01  2.490327E-01  3.364063E-01  3.313910E-01  5.069063E-01
   2     1     8     8  2.053798E-01  2.735528E-01  2.583136E-01  3.763482E-01  2.345927E-01  3.246197E-01  3.063153E-01  4.805512E-01
   2     1     8     9  1.898524E-01  2.543034E-01  2.342402E-01  3.408489E-01  2.201706E-01  3.138470E-01  2.821846E-01  4.572804E-01
   2     1     8    10  1.757944E-01  2.385893E-01  2.132171E-01  3.132116E-01  2.061553E-01  3.068905E-01  2.595681E-01  4.426506E-01
   2     1     8    11  1.645292E-01  2.307324E-01  1.968753E-01  2.998248E-01  1.927392E-01  3.068314E-01  2.386436E-01  4.425341E-01
   2     1     8    12  1.554206E-01  2.318190E-01  1.839725E-01  3.016709E-01  1.783701E-01  3.128007E-01  2.169737E-01  4.550818E-01
   2     1     8    13  1.453826E-01  2.372312E-01  1.700637E-01  3.109078E-01  1.607078E-01  3.202084E-01  1.913431E-01  4.709629E-01
   2     1     8    14  1.315165E-01  2.426072E-01  1.513742E-01  3.202175E-01  1.392191E-01  3.259436E-01  1.615656E-01  4.834969E-01
   2     1     9     1  3.108628E-01  3.827403E-01  4.499258E-01  6.237781E-01  3.247678E-01  3.944767E-01  4.803094E-01  6.567543E-01
   2     1     9     2  3.070054E-01  3.807640E-01  4.421533E-01  6.174421E-01  3.211255E-01  3.931883E-01  4.725152E-01  6.516738E-01
   2     1     9     3  2.985336E-01  3.747813E-01  4.249669E-01  6.008537E-01  3.129048E-01  3.883776E-01  4.549865E-01  6.371927E-01
   2     1     9     4  2.856859E-01  3.647157E-01  3.994797E-01  5.747185E-01  3.003559E-01  3.801475E-01  4.289349E-01  6.144306E-01
   2     1     9     5  2.710167E-01  3.527474E-01  3.714250E-01  5.451925E-01  2.861904E-01  3.709371E-01  4.006352E-01  5.902292E-01
   2     1     9     6  2.563922E-01  3.400075E-01  3.445380E-01  5.151667E-01  2.724781E-01  3.621685E-01  3.742987E-01  5.680730E-01
   2     1     9     7  2.423305E-01  3.262120E-01  3.196540E-01  4.840524E-01  2.598476E-01  3.537323E-01  3.508974E-01  5.474474E-01
   2     1     9     8  2.282892E-01  3.105953E-01  2.956924E-01  4.503996E-01  2.476654E-01  3.448226E-01  3.290601E-01  5.263176E-01
   2     1     9     9  2.137466E-01  2.928377E-01  2.717638E-01  4.139795E-01  2.351476E-01  3.348654E-01  3.073358E-01  5.034248E-01
   2     1     9    10  1.987685E-01  2.735117E-01  2.480143E-01  3.763725E-01  2.219739E-01  3.240607E-01  2.852220E-01  4.793682E-01
   2     1     9    11  1.839774E-01  2.543603E-01  2.254114E-01  3.410413E-01  2.082657E-01  3.138566E-01  2.629811E-01  4.573585E-01
   2     1     9    12  1.705206E-01  2.387271E-01  2.055415E-01  3.135195E-01  1.944480E-01  3.072823E-01  2.413269E-01  4.435268E-01
   2     1     9    13  1.595124E-01  2.309847E-01  1.897609E-01  3.003079E-01  1.805375E-01  3.075064E-01  2.202592E-01  4.439958E-01
   2     1     9    14  1.502082E-01  2.321869E-01  1.767347E-01  3.023454E-01  1.649499E-01  3.136626E-01  1.974747E-01  4.569579E-01
   2     2     1     1  2.217096E-01  2.232686E-01  2.770407E-01  2.786857E-01  2.790667E-01  2.812952E-01  3.773105E-01  3.801157E-01
   2     2     1     2  2.177149E-01  2.192713E-01  2.727808E-01  2.745338E-01  2.735613E-01  2.758039E-01  3.703172E-01  3.733202E-01
   2     2     1     3  2.142786E-01  2.160453E-01  2.692201E-01  2.713436E-01  2.689621E-01  2.715436E-01  3.646082E-01  3.682752E-01
   2     2     1     4  2.126931E-01  2.149037E-01  2.676795E-01  2.704222E-01  2.668932E-01  2.701625E-01  3.622404E-01  3.670132E-01
   2     2     1     5  2.121883E-01  2.149172E-01  2.672586E-01  2.706830E-01  2.662555E-01  2.703231E-01  3.616344E-01  3.676196E-01
   2     2     1     6  2.120575E-01  2.152058E-01  2.672005E-01  2.711538E-01  2.661065E-01  2.708158E-01  3.615890E-01  3.685142E-01
   2     2     1     7  2.121564E-01  2.154549E-01  2.674259E-01  2.715081E-01  2.662734E-01  2.712131E-01  3.620243E-01  3.691613E-01
   2     2     1     8  2.124691E-01  2.156191E-01  2.679562E-01  2.717330E-01  2.667589E-01  2.714711E-01  3.629938E-01  3.695730E-01
   2     2     1     9  2.128431E-01  2.157230E-01  2.685507E-01  2.718797E-01  2.673270E-01  2.716338E-01  3.640693E-01  3.698386E-01
   2     2     1    10  2.131384E-01  2.157887E-01  2.690077E-01  2.719733E-01  2.677725E-01  2.717354E-01  3.648978E-01  3.700069E-01
   2     2     1    11  2.133262E-01  2.158276E-01  2.692976E-01  2.720252E-01  2.680550E-01  2.717940E-01  3.654179E-01  3.701028E-01
   2     2     1    12  2.134331E-01  2.158461E-01  2.694585E-01  2.720550E-01  2.682122E-01  2.718268E-01  3.657093E-01  3.701557E-01
   2     2     1    13  2.134901E-01  2.158569E-01  2.695455E-01  2.720698E-01  2.682988E-01  2.718433E-01  3.658636E-01  3.701845E-01
   2     2     1    14  2.135175E-01  2.158624E-01  2.695897E-01  2.720769E-01  2.683421E-01  2.718521E-01  3.659431E-01  3.701976E-01
   2     2     2     1  2.340396E-01  2.367656E-01  2.940609E-01  2.973706E-01  2.940609E-01  2.973706E-01  4.019109E-01  4.064931E-01
   2     2     2     2  2.278576E-01  2.304134E-01  2.859992E-01  2.891877E-01  2.859992E-01  2.891877E-01  3.901078E-01  3.946996E-01
   2     2     2     3  2.219219E-01  2.246047E-01  2.787088E-01  2.821818E-01  2.787088E-01  2.821818E-01  3.798524E-01  3.850719E-01
   2     2     2     4  2.187952E-01  2.219834E-01  2.751064E-01  2.793384E-01  2.751064E-01  2.793384E-01  3.750578E-01  3.815655E-01
   2     2     2     5  2.176635E-01  2.215109E-01  2.738734E-01  2.790372E-01  2.738734E-01  2.790372E-01  3.735460E-01  3.815511E-01
   2     2     2     6  2.173007E-01  2.217102E-01  2.735093E-01  2.794461E-01  2.735093E-01  2.794461E-01  3.731784E-01  3.823899E-01
   2     2     2     7  2.173137E-01  2.219717E-01  2.736170E-01  2.798588E-01  2.736170E-01  2.798588E-01  3.735160E-01  3.831091E-01
   2     2     2     8  2.176379E-01  2.221645E-01  2.741367E-01  2.801424E-01  2.741367E-01  2.801424E-01  3.745367E-01  3.835920E-01
   2     2     2     9  2.180748E-01  2.222900E-01  2.747934E-01  2.803289E-01  2.747934E-01  2.803289E-01  3.757466E-01  3.839068E-01
   2     2     2    10  2.184350E-01  2.223690E-01  2.753203E-01  2.804436E-01  2.753203E-01  2.804436E-01  3.766998E-01  3.841025E-01
   2     2     2    11  2.186684E-01  2.224135E-01  2.756580E-01  2.805115E-01  2.756580E-01  2.805115E-01  3.773051E-01  3.842171E-01
   2     2     2    12  2.188017E-01  2.224360E-01  2.758519E-01  2.805469E-01  2.758519E-01  2.805469E-01  3.776468E-01  3.842790E-01
   2     2     2    13  2.188727E-01  2.224498E-01  2.759531E-01  2.805654E-01  2.759531E-01  2.805654E-01  3.778287E-01  3.843118E-01
   2     2     2    14  2.189096E-01  2.224561E-01  2.760059E-01  2.805753E-01  2.760059E-01  2.805753E-01  3.779233E-01  3.843277E-01
   2     2     3     1  2.507077E-01  2.574112E-01  3.263611E-01  3.369176E-01  3.183281E-01  3.249798E-01  4.545539E-01  4.664923E-01
   2     2     3     2  2.418839E-01  2.479686E-01  3.117749E-01  3.212142E-01  3.071606E-01  3.134054E-01  4.338567E-01  4.450622E-01
   2     2     3     3  2.315367E-01  2.374448E-01  2.955545E-01  3.045952E-01  2.949233E-01  3.013579E-01  4.118014E-01  4.233272E-01
   2     2     3     4  2.246198E-01  2.311676E-01  2.853230E-01  2.953009E-01  2.872505E-01  2.947274E-01  3.984706E-01  4.118277E-01
   2     2     3     5  2.217245E-01  2.294282E-01  2.811750E-01  2.929235E-01  2.841231E-01  2.930689E-01  3.931827E-01  4.091628E-01
   2     2     3     6  2.207139E-01  2.295475E-01  2.797488E-01  2.932377E-01  2.830468E-01  2.933140E-01  3.913967E-01  4.097422E-01
   2     2     3     7  2.204837E-01  2.300228E-01  2.794407E-01  2.940134E-01  2.828963E-01  2.938693E-01  3.912136E-01  4.107922E-01
   2     2     3     8  2.208059E-01  2.304100E-01  2.799335E-01  2.946284E-01  2.834504E-01  2.943081E-01  3.922767E-01  4.116078E-01
   2     2     3     9  2.214042E-01  2.306560E-01  2.808124E-01  2.950142E-01  2.843076E-01  2.945947E-01  3.938580E-01  4.121370E-01
   2     2     3    10  2.219499E-01  2.307929E-01  2.816094E-01  2.952343E-01  2.850531E-01  2.947617E-01  3.952132E-01  4.124485E-01
   2     2     3    11  2.223190E-01  2.308655E-01  2.821507E-01  2.953488E-01  2.855440E-01  2.948530E-01  3.961070E-01  4.126185E-01
   2     2     3    12  2.225357E-01  2.309018E-01  2.824651E-01  2.954099E-01  2.858301E-01  2.949005E-01  3.966199E-01  4.127109E-01
   2     2     3    13  2.226528E-01  2.309189E-01  2.826360E-01  2.954389E-01  2.859816E-01  2.949253E-01  3.968961E-01  4.127569E-01
   2     2     3    14  2.227156E-01  2.309297E-01  2.827228E-01  2.954553E-01  2.860616E-01  2.949372E-01  3.970397E-01  4.127794E-01
   2     2     4     1  2.607935E-01  2.783775E-01  3.487082E-01  3.802104E-01  3.358236E-01  3.506983E-01  4.989433E-01  5.309174E-01
   2     2     4     2  2.511884E-01  2.677320E-01  3.315259E-01  3.605110E-01  3.241029E-01  3.385886E-01  4.744711E-01  5.051674E-01
   2     2     4     3  2.371616E-01  2.529731E-01  3.075247E-01  3.343069E-01  3.079105E-01  3.228907E-01  4.412325E-01  4.720422E-01
   2     2     4     4  2.240699E-01  2.403041E-01  2.862031E-01  3.129000E-01  2.935518E-01  3.104568E-01  4.127974E-01  4.465145E-01
   2     2     4     5  2.166205E-01  2.348083E-01  2.745049E-01  3.040199E-01  2.856595E-01  3.056208E-01  3.976883E-01  4.369061E-01
   2     2     4     6  2.137893E-01  2.346894E-01  2.701409E-01  3.039923E-01  2.826581E-01  3.058109E-01  3.920476E-01  4.374058E-01
   2     2     4     7  2.127997E-01  2.361655E-01  2.686296E-01  3.065112E-01  2.817483E-01  3.073119E-01  3.903661E-01  4.404931E-01
   2     2     4     8  2.126594E-01  2.375087E-01  2.683980E-01  3.087794E-01  2.821072E-01  3.086072E-01  3.910536E-01  4.431457E-01
   2     2     4     9  2.132334E-01  2.383530E-01  2.692410E-01  3.101996E-01  2.833388E-01  3.094127E-01  3.933697E-01  4.447944E-01
   2     2     4    10  2.140427E-01  2.387785E-01  2.704402E-01  3.109195E-01  2.846603E-01  3.098298E-01  3.958507E-01  4.456499E-01
   2     2     4    11  2.147030E-01  2.389688E-01  2.714200E-01  3.112463E-01  2.856275E-01  3.100251E-01  3.976708E-01  4.460516E-01
   2     2     4    12  2.151254E-01  2.390523E-01  2.720466E-01  3.113891E-01  2.862180E-01  3.101152E-01  3.987764E-01  4.462392E-01
   2     2     4    13  2.153653E-01  2.390912E-01  2.724024E-01  3.114547E-01  2.865412E-01  3.101564E-01  3.993888E-01  4.463277E-01
   2     2     4    14  2.154927E-01  2.391092E-01  2.725918E-01  3.114859E-01  2.867130E-01  3.101766E-01  3.997092E-01  4.463708E-01
   2     2     5     1  2.542946E-01  2.906220E-01  3.357096E-01  4.027348E-01  3.248399E-01  3.543644E-01  4.745828E-01  5.413336E-01
   2     2     5     2  2.474301E-01  2.830013E-01  3.245173E-01  3.892165E-01  3.174628E-01  3.476448E-01  4.603076E-01  5.276989E-01
   2     2     5     3  2.350628E-01  2.696305E-01  3.041451E-01  3.650948E-01  3.039625E-01  3.358757E-01  4.332769E-01  5.021912E-01
   2     2     5     4  2.190260E-01  2.526745E-01  2.782120E-01  3.350699E-01  2.861031E-01  3.210554E-01  3.980627E-01  4.699741E-01
   2     2     5     5  2.046955E-01  2.386656E-01  2.557723E-01  3.111828E-01  2.703925E-01  3.099291E-01  3.683311E-01  4.465381E-01
   2     2     5     6  1.961237E-01  2.329603E-01  2.427140E-01  3.018189E-01  2.613853E-01  3.069943E-01  3.518649E-01  4.405964E-01
   2     2     5     7  1.923442E-01  2.342451E-01  2.370321E-01  3.041329E-01  2.574100E-01  3.096893E-01  3.447154E-01  4.463363E-01
   2     2     5     8  1.895637E-01  2.376290E-01  2.328258E-01  3.099440E-01  2.547998E-01  3.134297E-01  3.399933E-01  4.542755E-01
   2     2     5     9  1.866194E-01  2.405107E-01  2.283195E-01  3.149022E-01  2.532883E-01  3.162358E-01  3.371725E-01  4.602756E-01
   2     2     5    10  1.840607E-01  2.422457E-01  2.243437E-01  3.178993E-01  2.530808E-01  3.178077E-01  3.366303E-01  4.636553E-01
   2     2     5    11  1.821036E-01  2.430468E-01  2.212630E-01  3.192929E-01  2.534634E-01  3.185097E-01  3.371549E-01  4.651743E-01
   2     2     5    12  1.807611E-01  2.433601E-01  2.191389E-01  3.198442E-01  2.538789E-01  3.187909E-01  3.377899E-01  4.657835E-01
   2     2     5    13  1.799384E-01  2.434766E-01  2.178347E-01  3.200516E-01  2.541665E-01  3.188998E-01  3.382370E-01  4.660222E-01
   2     2     5    14  1.794741E-01  2.435211E-01  2.171021E-01  3.201311E-01  2.543346E-01  3.189454E-01  3.385022E-01  4.661232E-01
   2     2     6     1  2.620150E-01  3.179922E-01  3.508045E-01  4.608552E-01  3.210425E-01  3.697698E-01  4.682797E-01  5.822554E-01
   2     2     6     2  2.558074E-01  3.111859E-01  3.404050E-01  4.477690E-01  3.145229E-01  3.642870E-01  4.555847E-01  5.705650E-01
   2     2     6     3  2.442341E-01  2.985721E-01  3.207414E-01  4.227954E-01  3.020699E-01  3.540162E-01  4.305577E-01  5.466721E-01
   2     2     6     4  2.279871E-01  2.805381E-01  2.936139E-01  3.877322E-01  2.840824E-01  3.391552E-01  3.950589E-01  5.119966E-01
   2     2     6     5  2.103019E-01  2.605732E-01  2.651241E-01  3.506982E-01  2.644173E-01  3.233279E-01  3.580280E-01  4.765256E-01
   2     2     6     6  1.944575E-01  2.430381E-01  2.405703E-01  3.197739E-01  2.473480E-01  3.111721E-01  3.274269E-01  4.504504E-01
   2     2     6     7  1.831197E-01  2.327440E-01  2.235546E-01  3.023243E-01  2.356708E-01  3.067009E-01  3.072771E-01  4.411579E-01
   2     2     6     8  1.763163E-01  2.316790E-01  2.135461E-01  3.006342E-01  2.279219E-01  3.097361E-01  2.942141E-01  4.475761E-01
   2     2     6     9  1.706140E-01  2.358252E-01  2.052335E-01  3.077166E-01  2.201725E-01  3.156053E-01  2.813255E-01  4.600716E-01
   2     2     6    10  1.632174E-01  2.405548E-01  1.945653E-01  3.158651E-01  2.115834E-01  3.206861E-01  2.672485E-01  4.710603E-01
   2     2     6    11  1.538961E-01  2.439429E-01  1.813232E-01  3.217655E-01  2.034984E-01  3.238412E-01  2.541884E-01  4.779713E-01
   2     2     6    12  1.435847E-01  2.457134E-01  1.669697E-01  3.248710E-01  1.968633E-01  3.253282E-01  2.436044E-01  4.812483E-01
   2     2     6    13  1.340982E-01  2.464236E-01  1.540510E-01  3.261232E-01  1.921110E-01  3.258924E-01  2.361086E-01  4.825046E-01
   2     2     6    14  1.269616E-01  2.466636E-01  1.445067E-01  3.265543E-01  1.891306E-01  3.260874E-01  2.314411E-01  4.829341E-01
   2     2     7     1  2.807176E-01  3.474164E-01  3.865122E-01  5.281462E-01  3.215044E-01  3.824428E-01  4.701721E-01  6.163837E-01
   2     2     7     2  2.750054E-01  3.417310E-01  3.764595E-01  5.164220E-01  3.158120E-01  3.780521E-01  4.590475E-01  6.068485E-01
   2     2     7     3  2.642603E-01  3.310152E-01  3.571579E-01  4.930621E-01  3.049383E-01  3.697419E-01  4.370401E-01  5.865822E-01
   2     2     7     4  2.488891E-01  3.151072E-01  3.299525E-01  4.586852E-01  2.890930E-01  3.573891E-01  4.054196E-01  5.560000E-01
   2     2     7     5  2.313911E-01  2.960466E-01  3.000646E-01  4.193306E-01  2.710156E-01  3.430706E-01  3.707884E-01  5.217817E-01
   2     2     7     6  2.137924E-01  2.756871E-01  2.712383E-01  3.796007E-01  2.531345E-01  3.287072E-01  3.381455E-01  4.890331E-01
   2     2     7     7  1.973523E-01  2.558751E-01  2.453955E-01  3.430612E-01  2.369199E-01  3.160434E-01  3.098400E-01  4.614014E-01
   2     2     7     8  1.830441E-01  2.396208E-01  2.237186E-01  3.145205E-01  2.228986E-01  3.076916E-01  2.863039E-01  4.437792E-01
   2     2     7     9  1.720348E-01  2.311566E-01  2.075263E-01  3.001584E-01  2.109953E-01  3.065523E-01  2.669488E-01  4.414395E-01
   2     2     7    10  1.638192E-01  2.317391E-01  1.956973E-01  3.011825E-01  1.994366E-01  3.117970E-01  2.486560E-01  4.524771E-01
   2     2     7    11  1.552741E-01  2.368498E-01  1.836113E-01  3.099050E-01  1.857231E-01  3.188067E-01  2.275786E-01  4.674855E-01
   2     2     7    12  1.437339E-01  2.420651E-01  1.676358E-01  3.189252E-01  1.695277E-01  3.243628E-01  2.035351E-01  4.796033E-01
   2     2     7    13  1.283684E-01  2.456322E-01  1.469929E-01  3.251685E-01  1.524769E-01  3.276068E-01  1.791637E-01  4.867748E-01
   2     2     7    14  1.105222E-01  2.474102E-01  1.238947E-01  3.283051E-01  1.372265E-01  3.290411E-01  1.581533E-01  4.899680E-01
   2     2     8     1  3.001583E-01  3.709045E-01  4.254695E-01  5.864886E-01  3.249187E-01  3.917376E-01  4.780793E-01  6.420177E-01
   2     2     8     2  2.948649E-01  3.663276E-01  4.156785E-01  5.766310E-01  3.197790E-01  3.881062E-01  4.679647E-01  6.341420E-01
   2     2     8     3  2.848857E-01  3.576815E-01  3.966918E-01  5.562659E-01  3.100225E-01  3.812917E-01  4.479752E-01  6.170044E-01
   2     2     8     4  2.705839E-01  3.448026E-01  3.697943E-01  5.257363E-01  2.959502E-01  3.713023E-01  4.194114E-01  5.911372E-01
   2     2     8     5  2.543129E-01  3.293284E-01  3.402143E-01  4.904090E-01  2.800710E-01  3.599529E-01  3.882992E-01  5.625168E-01
